Method,accuracy,precision,recall,f1,macro_f1,mcc,auroc,average_precision,balanced_accuracy,ece,brier_score,n_samples
no_critic,0.8378378378378378,0.911504424778761,0.8803418803418803,0.8956521739130435,0.7660079051383399,0.5341323242090288,0.8163771712158809,0.9186560073781831,0.7788806175902949,0.11375675675675709,0.12880335135135138,148.0
no_evidence,0.8378378378378378,0.911504424778761,0.8803418803418803,0.8956521739130435,0.7660079051383399,0.5341323242090288,0.8167907361455748,0.9186560073781831,0.7788806175902949,0.12429054054054064,0.12962010135135135,148.0
no_calibration,0.8378378378378378,0.911504424778761,0.8803418803418803,0.8956521739130435,0.7660079051383399,0.5341323242090288,0.8167907361455748,0.9186560073781831,0.7788806175902949,0.07283783783783808,0.12687432432432433,148.0
no_deterministic,0.8378378378378378,0.911504424778761,0.8803418803418803,0.8956521739130435,0.7660079051383399,0.5341323242090288,0.8167907361455748,0.9186560073781831,0.7788806175902949,0.12429054054054064,0.12962010135135135,148.0
single_extraction,0.8378378378378378,0.911504424778761,0.8803418803418803,0.8956521739130435,0.7660079051383399,0.5341323242090288,0.8167907361455748,0.9186560073781831,0.7788806175902949,0.12429054054054064,0.12962010135135135,148.0
only_embeddings,0.34459459459459457,1.0,0.17094017094017094,0.291970802919708,0.3409539549189735,0.2034688493346651,0.27956989247311825,0.7486881099582464,0.5854700854700855,0.3039991191110095,0.2887594308616228,148.0
only_direct_judge,0.20945945945945946,0.0,0.0,0.0,0.17318435754189945,0.0,0.5,0.7905405405405406,0.5,0.29054054054054057,0.25,148.0
only_srr,0.8378378378378378,0.911504424778761,0.8803418803418803,0.8956521739130435,0.7660079051383399,0.5341323242090288,0.8167907361455748,0.9186560073781831,0.7788806175902949,0.08466216216216237,0.12864797297297298,148.0
single_judge,0.8378378378378378,0.911504424778761,0.8803418803418803,0.8956521739130435,0.7660079051383399,0.5341323242090288,0.8167907361455748,0.9186560073781831,0.7788806175902949,0.10300675675675686,0.12344780405405405,148.0
no_glossary,0.8378378378378378,0.911504424778761,0.8803418803418803,0.8956521739130435,0.7660079051383399,0.5341323242090288,0.8167907361455748,0.9186560073781831,0.7788806175902949,0.12429054054054064,0.12962010135135135,148.0
