Language,accuracy,precision,recall,f1,macro_f1,mcc,auroc,average_precision,balanced_accuracy,ece,brier_score,n_samples
condition_drift,0.75,1.0,0.75,0.8571428571428571,0.42857142857142855,0.0,,1.0,0.75,0.225,0.07625000000000001,4.0
modality_drift,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.050000000000000266,0.0025000000000000035,23.0
numerical_drift,0.7894736842105263,1.0,0.7894736842105263,0.8823529411764706,0.4411764705882353,0.0,,1.0,0.7894736842105263,0.21052631578947367,0.08105263157894738,19.0
omission_drift,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.12000000000000012,0.024000000000000007,5.0
paraphrase,0.6774193548387096,0.0,0.0,0.0,0.40384615384615385,0.0,,0.0,0.6774193548387096,0.6287096774193548,0.43108709677419355,31.0
polarity_drift,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.023749999999999938,0.0006625000000000012,32.0
scope_drift,0.5,1.0,0.5,0.6666666666666666,0.3333333333333333,0.0,,1.0,0.5,0.45,0.20500000000000002,2.0
temporal_drift,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.09999999999999987,0.009999999999999995,7.0
terminology_drift,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.5,0.25,2.0
threshold_drift,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.09444444444444439,0.02083333333333334,9.0
unit_drift,0.5714285714285714,1.0,0.5714285714285714,0.7272727272727273,0.36363636363636365,0.0,,1.0,0.5714285714285714,0.39285714285714285,0.1760714285714286,14.0
